Format:
Edge; Number of graphs this edge appears in
MaxPeopleInBurst -> TotalPeopleInBurst; 100
NumberCodeBurstsLate -> MaxChurnInBurst; 100
NumberCodeBurstsLate -> NumberCodeBurstsEarly; 100
NumberCodeBurstsLate -> TotalBurstSizeEarly; 100
NumberOfChangesEarly -> NumberOfChanges; 100
MaxChurnInBurst -> TotalChurnInBurst; 100
MaximumCodeBurstEarly -> TimeMaxBurst; 100
NumberCodeBurstsEarly -> NumberOfChangesEarly; 100
NumberCodeBurstsEarly -> MaximumCodeBurstEarly; 100
TimeFirstBurst -> TimeMaxBurst; 100
ChurnTotal -> MaxChurnInBurst; 100
MaximumCodeBurst -> NumberConsecutiveChangesLate; 100
MaximumCodeBurst -> NumberCodeBursts; 100
NumberOfConsecutiveChangesEarly -> NumberOfChangesEarly; 100
NumberConsecutiveChangesLate -> TotalPeopleInBurst; 100
NumberConsecutiveChangesLate -> MaxPeopleInBurst; 100
NumberConsecutiveChangesLate -> NumberOfChangesLate; 100
TotalBurstSize -> TotalBurstSizeEarly; 100
TotalBurstSize -> NumberCodeBursts; 100
TimeMaxBurst -> NumberOfConsecutiveChangesEarly; 100
NumberConsecutiveChanges -> NumberOfChanges; 100
NumberConsecutiveChanges -> MaximumCodeBurstEarly; 100
NumberConsecutiveChanges -> NumberOfConsecutiveChangesEarly; 100
TimeLastBurst -> NumberConsecutiveChangesLate; 100
TimeLastBurst -> TimeMaxBurst; 100
NumberCodeBursts -> NumberCodeBurstsEarly; 100
NumberCodeBursts -> TimeFirstBurst; 100
NumberCodeBursts -> TimeLastBurst; 100
PeopleTotal -> MaxPeopleInBurst; 100
PeopleTotal -> ChurnTotal; 100
pre -> MaxChurnInBurst; 100
NumberOfDefects -> pre; 100
NumberOfChangesLate -> TotalBurstSizeLate; 97
NumberCodeBurstsLate -> TotalBurstSizeLate; 96
NumberOfChangesLate -> NumberCodeBurstsLate; 96
MaximumCodeBurst -> NumberCodeBurstsLate; 96
NumberConsecutiveChanges -> NumberCodeBurstsLate; 96
NumberConsecutiveChanges -> MaximumCodeBurst; 68
NumberConsecutiveChanges -> TotalBurstSize; 65
pre -> PeopleTotal; 58
TimeFirstBurst -> TimeLastBurst; 51
TimeLastBurst -> TimeFirstBurst; 49
NumberConsecutiveChangesLate -> TotalChurnInBurst; 46
NumberOfChangesLate -> TotalChurnInBurst; 42
NumberOfDefects -> PeopleTotal; 42
NumberOfChanges -> NumberOfDefects; 40
TotalBurstSize -> NumberConsecutiveChanges; 35
MaximumCodeBurst -> NumberConsecutiveChanges; 32
NumberOfChangesEarly -> NumberOfDefects; 24
NumberCodeBurstsEarly -> NumberOfDefects; 24
NumberCodeBursts -> NumberOfDefects; 12
TotalBurstSizeLate -> NumberCodeBurstsLate; 4
NumberConsecutiveChangesLate -> TotalBurstSizeLate; 4
TotalBurstSizeLate -> NumberOfChangesLate; 3
