TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal pre NumberOfDefects TLOC GapSize BurstSize
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 18.0 1 1
1 0 1 1 1 1 1 0 0 0 0 54 0 0 1 0 0 0 1 54 0 54 1 1 5 0 122.0 1 1
1 0 1 1 1 1 1 0 0 0 0 57 0 0 1 0 0 0 1 57 0 57 1 1 1 0 54.0 1 1
3 0 3 1 0 0 0 3 30 1 3 4 35 35 1 0 0 3 3 4 0 18 3 3 0 0 30.0 1 1
2 0 5 1 1 1 1 4 53 2 3 6 107 107 2 1 0 4 5 16 1 54 4 2 0 0 22.0 1 1
2 2 3 2 3 2 3 0 2 0 0 50 4 4 2 0 1 0 3 50 1 61 2 2 1 1 96.0 1 1
2 1 7 2 2 2 2 5 638 2 4 1 1171 1171 2 1 0 5 7 19 1 55 6 2 1 0 89.0 1 1
3 2 14 2 4 3 4 10 1050 3 6 6 1725 1725 3 4 1 10 14 30 5 56 9 3 0 0 513.0 1 1
2 0 2 1 0 0 0 2 5 1 2 4 5 5 1 0 0 2 2 4 0 6 2 2 0 0 65.0 1 1
3 1 13 2 3 3 3 10 94 2 8 3 249 249 2 2 0 10 13 5 2 57 11 3 4 0 152.0 1 1
3 0 20 3 0 0 5 15 980 10 4 32 1580 1580 10 11 5 20 20 45 16 45 4 3 21 2 257.0 1 1
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 10.0 1 1
2 4 6 2 6 2 6 0 194 0 0 54 254 254 4 0 4 0 6 54 4 59 2 2 6 2 102.0 1 1
3 0 5 2 1 1 1 4 488 2 3 1 586 586 2 1 0 4 5 4 1 55 4 3 1 0 112.0 1 1
2 0 1 2 1 1 1 0 2 0 0 58 2 2 1 0 0 0 1 58 0 58 1 2 1 4 30.0 1 1
4 0 5 1 1 1 1 4 6 1 4 2 18 18 1 0 0 4 5 2 0 60 5 4 0 0 5.0 1 1
3 2 6 1 4 3 4 2 80 1 2 32 159 159 2 0 1 2 6 60 1 60 5 3 0 0 16.0 1 1
2 0 10 2 2 1 2 8 459 2 6 6 1009 1009 2 2 1 8 10 16 3 53 7 2 2 0 134.0 1 1
2 0 7 1 0 0 0 7 28 3 5 3 56 56 3 2 0 7 7 3 2 26 5 2 0 1 47.0 1 1
5 0 11 3 1 1 1 10 190 3 6 4 291 291 3 4 0 10 11 20 4 59 7 5 0 0 32.0 1 1
3 0 3 1 1 1 1 2 6 1 2 32 8 8 1 0 0 2 3 32 0 60 3 3 0 0 9.0 1 1
1 1 4 1 2 2 2 2 163 1 2 37 193 193 1 0 0 2 4 37 0 56 4 1 0 0 91.0 1 1
3 0 3 1 0 0 0 3 24 1 3 4 29 29 1 0 0 3 3 4 0 11 3 3 0 0 20.0 1 1
2 0 3 1 0 0 0 3 48 1 3 30 52 52 1 0 0 3 3 30 0 46 3 2 1 1 60.0 1 1
1 0 1 1 0 0 0 1 0 0 1 29 0 0 1 0 0 1 1 29 0 29 1 1 0 0 17.0 1 1
3 1 5 1 2 2 2 3 133 1 3 6 163 163 1 0 0 3 5 6 0 57 5 3 0 0 43.0 1 1
1 0 1 1 0 0 0 1 0 0 1 27 0 0 1 0 0 1 1 27 0 27 1 1 0 0 42.0 1 1
2 1 6 2 3 3 3 3 25 2 2 30 73 73 2 1 0 3 6 30 1 57 5 2 2 0 292.0 1 1
1 0 3 1 1 1 1 2 101 1 2 37 104 104 1 0 0 2 3 37 0 50 3 1 0 0 158.0 1 1
1 0 1 1 1 1 1 0 2 0 0 50 2 2 1 0 0 0 1 50 0 50 1 1 0 0 131.0 1 1
2 0 7 2 1 1 2 5 291 4 3 26 297 297 4 2 1 6 7 47 3 52 4 2 2 0 16.0 1 1
4 3 5 4 5 2 5 0 67 0 0 52 71 71 3 0 3 0 5 57 3 57 2 4 5 0 249.0 1 1
4 1 5 1 2 2 2 3 6 1 3 5 12 12 1 0 0 3 5 5 0 59 5 4 0 0 19.0 1 1
3 0 9 3 2 1 2 7 168 4 3 41 238 238 4 4 1 7 9 46 5 51 4 3 5 3 97.0 1 1
2 0 2 1 1 1 1 1 19 0 1 41 19 19 1 0 0 1 2 41 0 54 2 2 0 0 43.0 1 1
3 3 4 3 4 2 4 0 265 0 0 55 267 267 3 0 2 0 4 55 2 59 2 3 3 0 108.0 1 1
2 0 3 2 2 1 2 1 11 0 1 46 13 13 2 0 1 1 3 50 1 50 2 2 3 0 12.0 1 1
3 0 6 3 1 1 1 5 47 4 2 30 61 61 4 3 0 5 6 30 3 50 3 3 1 0 34.0 1 1
6 2 17 2 5 3 5 12 202 3 8 1 570 570 3 4 2 12 17 3 6 58 11 6 1 0 85.0 1 1
2 0 5 1 1 1 1 4 79 2 3 18 210 210 2 1 0 4 5 18 1 54 4 2 0 0 45.0 1 1
4 2 4 2 4 3 4 0 81 0 0 55 105 105 2 0 1 0 4 55 1 60 3 4 2 1 576.0 1 1
1 0 1 1 1 1 1 0 2 0 0 50 2 2 1 0 0 0 1 50 0 50 1 1 0 0 22.0 1 1
1 2 3 1 3 2 3 0 70 0 0 50 71 71 2 0 1 0 3 50 1 60 2 1 0 0 12.0 1 1
10 0 41 7 0 0 12 29 2566 18 11 1 4984 4984 18 18 12 41 41 44 30 44 11 10 17 1 1040.0 1 1
2 0 3 1 2 1 2 1 16 0 1 6 16 16 2 0 1 1 3 53 1 53 2 2 0 0 12.0 1 1
1 0 3 1 3 1 3 0 40 0 0 55 40 40 3 0 2 0 3 55 2 55 1 1 1 0 267.0 1 1
1 0 3 1 1 1 1 2 5 0 1 44 7 7 2 1 0 2 3 44 1 57 2 1 0 0 25.0 1 1
5 2 14 2 6 4 6 8 276 1 8 4 471 471 2 0 2 8 14 57 2 60 12 5 3 0 295.0 1 1
3 2 7 2 3 2 3 4 238 1 4 27 507 507 2 0 1 4 7 56 1 56 6 3 0 0 134.0 1 1
1 0 2 1 0 0 1 1 3 0 1 49 3 3 2 0 1 2 2 49 1 49 1 1 0 0 12.0 1 1
2 0 3 2 1 1 1 2 2 0 1 39 3 3 2 1 0 2 3 39 1 52 2 2 0 0 9.0 1 1
1 0 1 1 1 1 1 0 9 0 0 52 9 9 1 0 0 0 1 52 0 52 1 1 0 0 20.0 1 1
3 1 5 1 2 2 2 3 276 1 3 1 305 305 1 0 0 3 5 1 0 61 5 3 0 0 54.0 1 1
1 1 2 1 2 2 2 0 12 0 0 50 12 12 1 0 0 0 2 50 0 53 2 1 0 0 87.0 1 1
2 2 10 1 3 2 3 7 21 1 7 1 61 61 2 0 1 7 10 54 1 54 9 2 2 0 56.0 1 1
3 0 5 3 0 0 1 4 36 3 2 30 44 44 3 2 1 5 5 30 3 49 2 3 1 0 12.0 1 1
3 2 4 3 4 3 4 0 155 0 0 51 166 166 2 0 1 0 4 53 1 57 3 3 3 0 64.0 1 1
3 2 7 2 5 3 5 2 232 1 2 31 485 485 2 0 2 2 7 53 2 59 5 3 6 0 342.0 1 1
1 0 1 1 0 0 0 1 11 0 1 42 11 11 1 0 0 1 1 42 0 42 1 1 1 0 88.0 1 1
1 0 2 1 1 1 1 1 17 0 1 30 17 17 1 0 0 1 2 30 0 54 2 1 1 0 5.0 1 1
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 15.0 1 1
1 2 3 1 3 2 3 0 40 0 0 54 64 64 2 0 1 0 3 54 1 57 2 1 1 0 89.0 1 1
3 0 5 2 1 1 1 4 192 2 3 1 224 224 2 1 0 4 5 4 1 55 4 3 1 0 61.0 1 1
2 0 5 2 1 1 2 3 16 2 3 32 40 40 2 0 1 4 5 49 1 54 4 2 1 1 85.0 1 1
1 0 1 1 1 1 1 0 0 0 0 52 0 0 1 0 0 0 1 52 0 52 1 1 0 0 37.0 1 1
2 0 4 1 1 1 1 3 12 1 3 3 25 25 1 0 0 3 4 3 0 50 4 2 0 0 96.0 1 1
1 0 2 1 0 0 0 2 32 1 2 41 51 51 1 0 0 2 2 41 0 45 2 1 0 0 28.0 1 1
3 5 13 2 9 3 9 4 423 3 2 45 771 771 5 2 6 4 13 51 8 61 5 3 9 3 1030.0 1 1
1 0 1 1 1 1 1 0 7 0 0 50 7 7 1 0 0 0 1 50 0 50 1 1 0 0 27.0 1 1
7 2 11 2 3 2 3 8 78 1 8 1 278 278 2 0 1 8 11 54 1 57 10 7 1 0 60.0 1 1
8 1 10 1 3 3 3 7 78 1 7 2 111 111 1 0 0 7 10 2 0 60 10 8 1 0 89.0 1 1
2 2 9 1 3 2 3 6 39 2 5 6 102 102 2 1 1 6 9 16 2 57 7 2 0 1 44.0 1 1
2 1 2 1 2 2 2 0 2 0 0 57 4 4 1 0 0 0 2 57 0 59 2 2 4 0 304.0 1 1
1 0 4 1 0 0 0 4 118 2 3 19 118 118 2 1 0 4 4 23 1 23 3 1 0 0 7.0 1 1
4 0 6 1 1 1 1 5 13 1 5 4 27 27 1 0 0 5 6 4 0 55 6 4 2 0 74.0 1 1
2 0 1 2 0 0 0 1 99 0 1 42 99 99 1 0 0 1 1 42 0 42 1 2 3 0 45.0 1 1
2 0 2 2 2 1 2 0 66 0 0 54 66 66 2 0 1 0 2 54 1 54 1 2 0 0 12.0 1 1
2 1 4 1 2 2 2 2 49 1 2 32 56 56 1 0 0 2 4 32 0 60 4 2 0 0 13.0 1 1
2 0 2 1 0 0 0 2 5 1 2 4 5 5 1 0 0 2 2 4 0 6 2 2 0 0 6.0 1 1
