TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal pre NumberOfDefects TLOC
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 18.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 5 0 122.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 1 0 54.0
0 0 3 0 0 0 0 3 0 0 0 -1 0 35 0 1 0 0 0 -1 1 -1 0 3 0 0 30.0
0 0 5 0 0 0 1 4 0 0 0 -1 0 107 0 2 0 0 0 -1 2 -1 0 2 0 0 22.0
0 0 3 0 0 0 3 0 0 0 0 -1 0 4 0 0 1 0 0 -1 1 -1 0 2 1 1 96.0
0 0 7 0 0 0 2 5 0 0 0 -1 0 1171 0 2 1 0 0 -1 3 -1 0 2 1 0 89.0
3 0 14 3 4 1 4 10 194 0 1 27 248 1725 4 6 3 4 8 27 9 51 2 3 0 0 513.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 5 0 1 0 0 0 -1 1 -1 0 2 0 0 65.0
3 0 13 3 0 0 3 10 68 5 2 3 118 249 5 5 3 8 8 46 8 46 2 3 4 0 152.0
3 0 20 3 0 0 5 15 1580 0 1 32 1580 1580 20 14 5 20 20 32 19 32 1 3 21 2 257.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 10.0
2 0 6 2 6 1 6 0 254 0 0 54 254 254 6 0 5 0 6 54 5 54 1 2 6 2 102.0
3 0 5 3 0 0 1 4 34 0 1 1 34 586 3 2 0 3 3 1 2 1 1 3 1 0 112.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 2 1 4 30.0
0 0 5 0 0 0 1 4 0 0 0 -1 0 18 0 1 0 0 0 -1 1 -1 0 4 0 0 5.0
2 0 6 2 3 1 4 2 144 0 0 58 144 159 3 0 2 0 3 58 2 58 1 3 0 0 16.0
1 0 10 1 0 0 2 8 437 0 1 6 437 1009 3 4 1 3 3 6 5 6 1 2 2 0 134.0
1 0 7 1 0 0 0 7 28 0 1 3 28 56 3 3 0 3 3 3 3 3 1 2 0 1 47.0
3 0 11 3 0 0 1 10 218 0 1 20 218 291 6 6 0 6 6 20 6 20 1 5 0 0 32.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 3 0 0 9.0
0 0 4 0 0 0 2 2 0 0 0 -1 0 193 0 0 0 0 0 -1 0 -1 0 1 0 0 91.0
0 0 3 0 0 0 0 3 0 0 0 -1 0 29 0 1 0 0 0 -1 1 -1 0 3 0 0 20.0
0 0 3 0 0 0 0 3 0 0 0 -1 0 52 0 1 0 0 0 -1 1 -1 0 2 1 1 60.0
0 0 1 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 17.0
0 0 5 0 0 0 2 3 0 0 0 -1 0 163 0 1 1 0 0 -1 2 -1 0 3 0 0 43.0
0 0 1 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 42.0
0 0 6 0 0 0 3 3 0 0 0 -1 0 73 0 1 1 0 0 -1 2 -1 0 2 2 0 292.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 104 0 1 0 0 0 -1 1 -1 0 1 0 0 158.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 1 0 0 131.0
2 0 7 2 0 0 2 5 292 0 1 47 292 297 5 2 2 5 5 47 4 47 1 2 2 0 16.0
4 0 5 4 3 1 5 0 67 0 0 57 67 71 3 0 3 0 3 57 3 57 1 4 5 0 249.0
0 0 5 0 0 0 2 3 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 4 0 0 19.0
3 0 9 3 0 0 2 7 238 0 1 41 238 238 9 6 2 9 9 41 8 41 1 3 5 3 97.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 19 0 0 0 0 0 -1 0 -1 0 2 0 0 43.0
3 0 4 3 4 1 4 0 267 0 0 55 267 267 4 0 3 0 4 55 3 55 1 3 3 0 108.0
0 0 3 0 0 0 2 1 0 0 0 -1 0 13 0 0 1 0 0 -1 1 -1 0 2 3 0 12.0
3 0 6 3 0 0 1 5 53 0 1 30 53 61 5 4 0 5 5 30 4 30 1 3 1 0 34.0
6 0 17 4 5 1 5 12 263 4 2 1 446 570 5 6 4 8 13 53 10 53 3 6 1 0 85.0
1 0 5 1 0 0 1 4 152 0 1 18 152 210 3 2 0 3 3 18 2 18 1 2 0 0 45.0
4 0 4 4 4 1 4 0 105 0 0 55 105 105 4 0 3 0 4 55 3 55 1 4 2 1 576.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 1 0 0 22.0
0 0 3 0 0 0 3 0 0 0 0 -1 0 71 0 0 1 0 0 -1 1 -1 0 1 0 0 12.0
10 0 41 7 0 0 12 29 2695 20 3 1 4850 4984 20 25 12 39 39 41 37 41 3 10 17 1 1040.0
0 0 3 0 0 0 2 1 0 0 0 -1 0 16 0 0 1 0 0 -1 1 -1 0 2 0 0 12.0
1 0 3 1 3 1 3 0 40 0 0 55 40 40 3 0 2 0 3 55 2 55 1 1 1 0 267.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 7 0 1 0 0 0 -1 1 -1 0 1 0 0 25.0
3 0 14 2 6 1 6 8 311 0 1 18 425 471 6 3 5 3 9 52 8 52 2 5 3 0 295.0
2 0 7 2 3 1 3 4 410 0 0 54 410 507 3 0 2 0 3 54 2 54 1 3 0 0 134.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 3 0 0 1 0 0 -1 1 -1 0 1 0 0 12.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 3 0 1 0 0 0 -1 1 -1 0 2 0 0 9.0
