TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal bugs GapSize BurstSize
0 0 2 0 0 0 0 2 0 0 0 -1 0 2 0 1 0 0 0 -1 1 -1 0 1 0 3 3
0 0 3 0 0 0 0 3 0 0 0 -1 0 18 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 22 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 1177 0 1 0 0 0 -1 1 -1 0 2 1 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 2 0 3 3
2 0 5 2 0 0 0 5 33 0 1 35 33 36 3 3 0 3 3 35 3 35 1 2 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 52 0 1 0 0 0 -1 1 -1 0 3 0 3 3
0 0 6 0 0 0 0 6 0 0 0 -1 0 270 0 2 0 0 0 -1 2 -1 0 2 0 3 3
2 0 10 2 0 0 0 10 433 5 2 21 561 1277 5 6 0 8 8 28 6 28 2 2 0 3 3
0 0 6 0 0 0 1 5 0 0 0 -1 0 157 0 1 0 0 0 -1 1 -1 0 2 0 3 3
1 0 7 1 0 0 2 5 31 0 1 41 31 49 3 1 1 3 3 41 2 41 1 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 16 0 0 0 0 0 -1 0 -1 0 2 0 3 3
